pkt_id,src,rsu,gen_time,enq_time,start_tx,end_tx,rx_time,success,reason,size_bits
pkt_132,test_vehicle_1,rsu_2,26.3,26.3,26.3,26.3004098671054,26.3004098671054,True,ok,8192
pkt_133,test_vehicle_2,rsu_13,26.3,26.3,26.3,26.30040982010071,26.30040982010071,True,ok,8192
pkt_137,flow_ew_j2.1,rsu_0,27.1,27.1,27.1,27.10040973956693,27.10040973956693,True,ok,8192
pkt_134,emergency_1,rsu_1,27.1,27.1,27.1,27.100409642809982,27.100409642809982,True,ok,8192
pkt_138,flow_ns_j2.0,rsu_12,27.1,27.1,27.1,27.100409703575544,27.100409703575544,True,ok,8192
pkt_140,test_vehicle_4,rsu_19,27.1,27.1,27.1,27.10040976943191,27.10040976943191,True,ok,8192
pkt_135,flow_ew_full.0,rsu_1,27.1,27.1,27.2,27.2004099075785,27.2004099075785,True,ok,8192
pkt_136,flow_ew_j2.0,rsu_1,27.1,27.1,27.3,27.30040978287477,27.30040978287477,True,ok,8192
pkt_141,test_vehicle_1,rsu_2,27.3,27.3,27.3,27.300409818263002,27.300409818263002,True,ok,8192
pkt_142,test_vehicle_2,rsu_13,27.3,27.3,27.3,27.300409863300036,27.300409863300036,True,ok,8192
pkt_139,test_vehicle_3,rsu_1,27.1,27.1,27.4,27.400409826697018,27.400409826697018,True,ok,8192
pkt_146,flow_ew_j2.1,rsu_0,28.1,28.1,28.1,28.100409780333216,28.100409780333216,True,ok,8192
pkt_143,emergency_1,rsu_1,28.1,28.1,28.1,28.10040969023081,28.10040969023081,True,ok,8192
pkt_147,flow_ns_j2.0,rsu_12,28.1,28.1,28.1,28.100409746747477,28.100409746747477,True,ok,8192
pkt_149,test_vehicle_4,rsu_19,28.1,28.1,28.1,28.100409819372263,28.100409819372263,True,ok,8192
pkt_144,flow_ew_full.0,rsu_1,28.1,28.1,28.2,28.200409859365298,28.200409859365298,True,ok,8192
pkt_145,flow_ew_j2.0,rsu_1,28.1,28.1,28.3,28.300409744702883,28.300409744702883,True,ok,8192
pkt_150,test_vehicle_1,rsu_2,28.3,28.3,28.3,28.300409769444105,28.300409769444105,True,ok,8192
pkt_151,test_vehicle_2,rsu_13,28.3,28.3,28.3,28.300409906511902,28.300409906511902,True,ok,8192
pkt_148,test_vehicle_3,rsu_1,28.1,28.1,28.4,28.400409873313187,28.400409873313187,True,ok,8192
pkt_155,flow_ew_j2.1,rsu_0,29.1,29.1,29.1,29.100409821113338,29.100409821113338,True,ok,8192
pkt_152,emergency_1,rsu_1,29.1,29.1,29.1,29.100409737770782,29.100409737770782,True,ok,8192
pkt_156,flow_ns_j2.0,rsu_12,29.1,29.1,29.1,29.100409789957833,29.100409789957833,True,ok,8192
pkt_158,test_vehicle_4,rsu_19,29.1,29.1,29.1,29.100409869225988,29.100409869225988,True,ok,8192
pkt_153,flow_ew_full.0,rsu_1,29.1,29.1,29.2,29.2004098111732,29.2004098111732,True,ok,8192
pkt_154,flow_ew_j2.0,rsu_1,29.1,29.1,29.3,29.300409706494456,29.300409706494456,True,ok,8192
pkt_159,test_vehicle_1,rsu_2,29.3,29.3,29.3,29.300409720607092,29.300409720607092,True,ok,8192
pkt_160,test_vehicle_2,rsu_14,29.3,29.3,29.3,29.300409916958817,29.300409916958817,True,ok,8192
pkt_157,test_vehicle_3,rsu_1,29.1,29.1,29.4,29.400409919916775,29.400409919916775,True,ok,8192
pkt_164,flow_ew_j2.1,rsu_0,30.1,30.1,30.1,30.100409861886845,30.100409861886845,True,ok,8192
pkt_161,emergency_1,rsu_1,30.1,30.1,30.1,30.100409785360576,30.100409785360576,True,ok,8192
pkt_167,test_vehicle_3,rsu_2,30.1,30.1,30.1,30.100409914223164,30.100409914223164,True,ok,8192
pkt_165,flow_ns_j2.0,rsu_12,30.1,30.1,30.1,30.10040983320599,30.10040983320599,True,ok,8192
pkt_166,flow_ns_j3.0,rsu_18,30.1,30.1,30.1,30.10040961781697,30.10040961781697,True,ok,8192
pkt_168,test_vehicle_4,rsu_19,30.1,30.1,30.1,30.100409919181942,30.100409919181942,True,ok,8192
pkt_162,flow_ew_full.0,rsu_1,30.1,30.1,30.2,30.200409764329486,30.200409764329486,True,ok,8192
pkt_163,flow_ew_j2.0,rsu_1,30.1,30.1,30.3,30.300409668317045,30.300409668317045,True,ok,8192
pkt_169,test_vehicle_1,rsu_2,30.3,30.3,30.3,30.300409671755983,30.300409671755983,True,ok,8192
pkt_170,test_vehicle_2,rsu_14,30.3,30.3,30.3,30.300409873741103,30.300409873741103,True,ok,8192
pkt_174,flow_ew_j2.1,rsu_0,31.1,31.1,31.1,31.10040990269151,31.10040990269151,True,ok,8192
pkt_171,emergency_1,rsu_1,31.1,31.1,31.1,31.10040983292825,31.10040983292825,True,ok,8192
pkt_177,test_vehicle_3,rsu_2,31.1,31.1,31.1,31.100409867622606,31.100409867622606,True,ok,8192
pkt_175,flow_ns_j2.0,rsu_12,31.1,31.1,31.1,31.10040987647682,31.10040987647682,True,ok,8192
pkt_176,flow_ns_j3.0,rsu_18,31.1,31.1,31.1,31.100409656721208,31.100409656721208,True,ok,8192
